id,name,spaces_amount,latitude,longitude,is_camera
1,Chornovola st,60,49.8625278,24.0177351,0
2,Miskevycha sq,25,49.839725,24.029954,0
3,Balabana st,50,49.846829,24.021185,0
4,Torfiana st,100,49.8616968,24.0199768,0
5,Chornovola ave,20,49.8520661,24.0244071,0
6,Halytska sq,20,49.8395673,24.0327166,0
7,Shevchenka ave,30,49.8372822,24.0314674,0
8,Sakharova st,40,49.8311243,24.0164862,0
9,Horodotska st,40,49.8401775,24.0139639,0
10,Siaivo st,60,49.8398652,23.9783115,0
11,Korolenka st,30,49.8411878,24.0397564,0
12,Valova st,25,49.8400456,24.0338212,0
13,Pidkovy sq,20,49.841307,24.028681,0
14,Virmenska st,30,49.8428833,24.0277836,0
15,Mudroho st,70,49.8423801,24.0100196,0
16,Mikhnovskykh st,40,49.8415058,24.0041368,0
17,Dvirtseva sq,140,49.8383796,23.9948639,0
18,Khmelnytskoho st,90,49.8652409,24.0544909,0
